,algorithm,n_trees,F,train_acc,test_acc,feature_importance
0,random forest,1,1,0.856,0.556,"[('Si', 0.454), ('Mg', 0.161), ('K', 0.101), ('Al', 0.077), ('Ca', 0.071), ('RI', 0.058), ('Ba', 0.037), ('Fe', 0.026), ('Na', 0.015)]"
1,random forest,1,2,0.831,0.648,"[('Mg', 0.336), ('Na', 0.186), ('Ca', 0.186), ('Al', 0.094), ('RI', 0.087), ('K', 0.065), ('Fe', 0.034), ('Si', 0.01), ('Ba', 0.001)]"
2,random forest,1,FMethodRF.LOG,0.825,0.611,"[('Mg', 0.353), ('RI', 0.186), ('Al', 0.121), ('Ba', 0.111), ('K', 0.087), ('Fe', 0.068), ('Na', 0.038), ('Ca', 0.021), ('Si', 0.014)]"
3,random forest,1,FMethodRF.SQRT,0.838,0.556,"[('Al', 0.426), ('Si', 0.195), ('K', 0.128), ('Na', 0.125), ('Ca', 0.086), ('Mg', 0.032), ('RI', 0.009), ('Fe', 0.0), ('Ba', 0.0)]"
4,random forest,10,1,0.962,0.704,"[('Si', 0.161), ('Na', 0.149), ('RI', 0.147), ('K', 0.127), ('Al', 0.112), ('Ba', 0.096), ('Fe', 0.078), ('Ca', 0.071), ('Mg', 0.058)]"
5,random forest,10,2,0.994,0.667,"[('Al', 0.186), ('K', 0.169), ('Na', 0.134), ('Mg', 0.123), ('Ba', 0.117), ('RI', 0.102), ('Ca', 0.071), ('Si', 0.062), ('Fe', 0.037)]"
6,random forest,10,FMethodRF.LOG,0.988,0.611,"[('Al', 0.335), ('Mg', 0.165), ('Si', 0.135), ('RI', 0.079), ('K', 0.07), ('Na', 0.067), ('Ba', 0.067), ('Ca', 0.066), ('Fe', 0.016)]"
7,random forest,10,FMethodRF.SQRT,0.994,0.667,"[('Mg', 0.22), ('Al', 0.218), ('Na', 0.123), ('RI', 0.122), ('Ca', 0.12), ('Ba', 0.09), ('K', 0.048), ('Si', 0.038), ('Fe', 0.02)]"
8,random forest,25,1,0.962,0.667,"[('K', 0.154), ('Mg', 0.147), ('RI', 0.133), ('Ba', 0.113), ('Al', 0.112), ('Na', 0.091), ('Fe', 0.091), ('Ca', 0.081), ('Si', 0.078)]"
9,random forest,25,2,1.0,0.685,"[('Al', 0.203), ('Mg', 0.128), ('Ba', 0.117), ('K', 0.114), ('RI', 0.106), ('Na', 0.106), ('Ca', 0.1), ('Si', 0.096), ('Fe', 0.028)]"
