,algorithm,n_trees,F,train_acc,test_acc,feature_importance
0,random forest,1,1,0.929,0.816,"[('petal width (cm)', 0.503), ('sepal width (cm)', 0.222), ('sepal length (cm)', 0.212), ('petal length (cm)', 0.062)]"
1,random forest,1,2,0.982,0.868,"[('petal length (cm)', 0.625), ('sepal length (cm)', 0.292), ('petal width (cm)', 0.083), ('sepal width (cm)', 0.0)]"
2,random forest,1,FMethodRF.LOG,0.955,0.895,"[('petal width (cm)', 0.5), ('sepal length (cm)', 0.25), ('petal length (cm)', 0.208), ('sepal width (cm)', 0.042)]"
3,random forest,1,FMethodRF.SQRT,0.973,0.868,"[('petal length (cm)', 0.5), ('sepal length (cm)', 0.333), ('petal width (cm)', 0.111), ('sepal width (cm)', 0.056)]"
4,random forest,10,1,0.982,0.974,"[('sepal width (cm)', 0.386), ('petal length (cm)', 0.294), ('petal width (cm)', 0.169), ('sepal length (cm)', 0.151)]"
5,random forest,10,2,1.0,0.921,"[('petal length (cm)', 0.459), ('petal width (cm)', 0.304), ('sepal length (cm)', 0.156), ('sepal width (cm)', 0.081)]"
6,random forest,10,FMethodRF.LOG,1.0,0.974,"[('petal width (cm)', 0.542), ('petal length (cm)', 0.341), ('sepal length (cm)', 0.081), ('sepal width (cm)', 0.036)]"
7,random forest,10,FMethodRF.SQRT,1.0,0.921,"[('petal length (cm)', 0.452), ('petal width (cm)', 0.35), ('sepal length (cm)', 0.141), ('sepal width (cm)', 0.057)]"
8,random forest,25,1,1.0,0.921,"[('petal length (cm)', 0.388), ('sepal width (cm)', 0.214), ('petal width (cm)', 0.2), ('sepal length (cm)', 0.198)]"
9,random forest,25,2,1.0,0.974,"[('petal length (cm)', 0.411), ('petal width (cm)', 0.358), ('sepal length (cm)', 0.174), ('sepal width (cm)', 0.057)]"
10,random forest,25,FMethodRF.LOG,1.0,0.974,"[('petal width (cm)', 0.449), ('petal length (cm)', 0.343), ('sepal length (cm)', 0.166), ('sepal width (cm)', 0.042)]"
11,random forest,25,FMethodRF.SQRT,1.0,0.974,"[('petal length (cm)', 0.439), ('petal width (cm)', 0.396), ('sepal length (cm)', 0.101), ('sepal width (cm)', 0.065)]"
12,random forest,50,1,1.0,0.974,"[('petal length (cm)', 0.297), ('sepal length (cm)', 0.249), ('petal width (cm)', 0.237), ('sepal width (cm)', 0.217)]"
13,random forest,50,2,1.0,0.974,"[('petal length (cm)', 0.436), ('petal width (cm)', 0.375), ('sepal length (cm)', 0.132), ('sepal width (cm)', 0.057)]"
14,random forest,50,FMethodRF.LOG,1.0,0.974,"[('petal width (cm)', 0.426), ('petal length (cm)', 0.385), ('sepal length (cm)', 0.139), ('sepal width (cm)', 0.049)]"
15,random forest,50,FMethodRF.SQRT,1.0,0.974,"[('petal length (cm)', 0.397), ('petal width (cm)', 0.379), ('sepal length (cm)', 0.163), ('sepal width (cm)', 0.06)]"
16,random forest,75,1,1.0,0.974,"[('petal length (cm)', 0.307), ('petal width (cm)', 0.278), ('sepal length (cm)', 0.219), ('sepal width (cm)', 0.196)]"
17,random forest,75,2,1.0,0.921,"[('petal length (cm)', 0.477), ('petal width (cm)', 0.342), ('sepal length (cm)', 0.123), ('sepal width (cm)', 0.058)]"
18,random forest,75,FMethodRF.LOG,1.0,0.921,"[('petal length (cm)', 0.483), ('petal width (cm)', 0.323), ('sepal length (cm)', 0.144), ('sepal width (cm)', 0.051)]"
19,random forest,75,FMethodRF.SQRT,1.0,0.974,"[('petal length (cm)', 0.433), ('petal width (cm)', 0.377), ('sepal length (cm)', 0.141), ('sepal width (cm)', 0.049)]"
