,algorithm,n_trees,F,train_acc,test_acc,feature_importance
0,random forest,1,1,0.704,0.631,"[('Pclass', 0.366), ('Age', 0.334), ('Embarked', 0.111), ('Fare', 0.087), ('Sex', 0.059), ('SibSp', 0.043), ('Parch', 0.0)]"
1,random forest,1,2,0.765,0.72,"[('Embarked', 0.336), ('Pclass', 0.163), ('Fare', 0.138), ('Parch', 0.131), ('Sex', 0.117), ('Age', 0.087), ('SibSp', 0.029)]"
2,random forest,1,FMethodRF.LOG,0.825,0.726,"[('Fare', 0.596), ('Sex', 0.136), ('SibSp', 0.091), ('Age', 0.063), ('Embarked', 0.045), ('Pclass', 0.039), ('Parch', 0.031)]"
3,random forest,1,FMethodRF.SQRT,0.807,0.787,"[('Pclass', 0.346), ('Parch', 0.242), ('Embarked', 0.135), ('Sex', 0.117), ('Age', 0.097), ('Fare', 0.04), ('SibSp', 0.022)]"
4,random forest,10,1,0.848,0.866,"[('Parch', 0.215), ('Sex', 0.167), ('Age', 0.164), ('Pclass', 0.131), ('SibSp', 0.129), ('Embarked', 0.102), ('Fare', 0.092)]"
5,random forest,10,2,0.853,0.829,"[('Sex', 0.213), ('Age', 0.187), ('Pclass', 0.172), ('Parch', 0.151), ('Fare', 0.128), ('Embarked', 0.098), ('SibSp', 0.05)]"
6,random forest,10,FMethodRF.LOG,0.878,0.832,"[('Fare', 0.23), ('Age', 0.18), ('Sex', 0.168), ('Parch', 0.128), ('Embarked', 0.101), ('SibSp', 0.097), ('Pclass', 0.095)]"
7,random forest,10,FMethodRF.SQRT,0.882,0.82,"[('Fare', 0.298), ('Sex', 0.173), ('Age', 0.163), ('Parch', 0.147), ('Embarked', 0.079), ('Pclass', 0.072), ('SibSp', 0.068)]"
8,random forest,25,1,0.813,0.787,"[('SibSp', 0.169), ('Age', 0.159), ('Fare', 0.154), ('Embarked', 0.147), ('Sex', 0.129), ('Pclass', 0.129), ('Parch', 0.113)]"
9,random forest,25,2,0.885,0.863,"[('Fare', 0.2), ('Sex', 0.169), ('Pclass', 0.163), ('Parch', 0.139), ('Age', 0.131), ('SibSp', 0.106), ('Embarked', 0.091)]"
10,random forest,25,FMethodRF.LOG,0.898,0.875,"[('Fare', 0.269), ('Age', 0.179), ('Pclass', 0.143), ('Sex', 0.142), ('Parch', 0.115), ('SibSp', 0.094), ('Embarked', 0.059)]"
11,random forest,25,FMethodRF.SQRT,0.877,0.857,"[('Fare', 0.196), ('Sex', 0.171), ('Pclass', 0.17), ('Age', 0.144), ('Embarked', 0.116), ('Parch', 0.109), ('SibSp', 0.095)]"
12,random forest,50,1,0.862,0.878,"[('Age', 0.178), ('Sex', 0.155), ('Fare', 0.152), ('SibSp', 0.137), ('Parch', 0.133), ('Embarked', 0.124), ('Pclass', 0.121)]"
13,random forest,50,2,0.886,0.875,"[('Fare', 0.24), ('Sex', 0.193), ('Age', 0.135), ('Pclass', 0.128), ('Parch', 0.124), ('SibSp', 0.093), ('Embarked', 0.087)]"
14,random forest,50,FMethodRF.LOG,0.88,0.848,"[('Fare', 0.259), ('Sex', 0.175), ('Age', 0.166), ('Pclass', 0.134), ('Parch', 0.094), ('SibSp', 0.088), ('Embarked', 0.085)]"
15,random forest,50,FMethodRF.SQRT,0.893,0.881,"[('Fare', 0.245), ('Age', 0.167), ('Sex', 0.159), ('Pclass', 0.132), ('Parch', 0.121), ('SibSp', 0.095), ('Embarked', 0.081)]"
16,random forest,75,1,0.863,0.884,"[('Age', 0.167), ('Fare', 0.164), ('Sex', 0.157), ('SibSp', 0.139), ('Parch', 0.134), ('Pclass', 0.12), ('Embarked', 0.118)]"
17,random forest,75,2,0.889,0.854,"[('Fare', 0.237), ('Sex', 0.184), ('Age', 0.16), ('Pclass', 0.136), ('SibSp', 0.097), ('Parch', 0.093), ('Embarked', 0.092)]"
18,random forest,75,FMethodRF.LOG,0.874,0.866,"[('Fare', 0.222), ('Sex', 0.18), ('Age', 0.158), ('Pclass', 0.131), ('Parch', 0.119), ('Embarked', 0.098), ('SibSp', 0.091)]"
19,random forest,75,FMethodRF.SQRT,0.883,0.857,"[('Fare', 0.236), ('Sex', 0.17), ('Age', 0.152), ('Pclass', 0.124), ('Parch', 0.122), ('SibSp', 0.099), ('Embarked', 0.097)]"
20,random forest,100,1,0.856,0.866,"[('Fare', 0.151), ('Sex', 0.147), ('Age', 0.146), ('SibSp', 0.143), ('Pclass', 0.142), ('Embarked', 0.136), ('Parch', 0.135)]"
21,random forest,100,2,0.882,0.848,"[('Fare', 0.236), ('Age', 0.167), ('Sex', 0.165), ('Pclass', 0.141), ('SibSp', 0.116), ('Parch', 0.089), ('Embarked', 0.085)]"
22,random forest,100,FMethodRF.LOG,0.885,0.869,"[('Fare', 0.225), ('Sex', 0.174), ('Age', 0.168), ('Pclass', 0.121), ('Parch', 0.118), ('SibSp', 0.1), ('Embarked', 0.095)]"
