,algorithm,n_trees,F,train_acc,test_acc,feature_importance
0,random forest,1,1,0.797,0.532,"[('alcohol', 0.467), ('volatile acidity', 0.206), ('citric acid', 0.085), ('total sulfur dioxide', 0.05), ('sulphates', 0.045), ('free sulfur dioxide', 0.044), ('density', 0.037), ('chlorides', 0.022), ('residual sugar', 0.018), ('fixed acidity', 0.015), ('pH', 0.012)]"
1,random forest,1,2,0.813,0.54,"[('total sulfur dioxide', 0.348), ('fixed acidity', 0.195), ('chlorides', 0.123), ('alcohol', 0.12), ('free sulfur dioxide', 0.053), ('sulphates', 0.048), ('density', 0.041), ('residual sugar', 0.034), ('volatile acidity', 0.023), ('citric acid', 0.011), ('pH', 0.006)]"
2,random forest,1,FMethodRF.LOG,0.813,0.575,"[('sulphates', 0.378), ('density', 0.207), ('volatile acidity', 0.13), ('free sulfur dioxide', 0.114), ('total sulfur dioxide', 0.068), ('alcohol', 0.047), ('fixed acidity', 0.027), ('chlorides', 0.011), ('residual sugar', 0.01), ('pH', 0.008), ('citric acid', 0.002)]"
3,random forest,1,FMethodRF.SQRT,0.8,0.565,"[('citric acid', 0.407), ('alcohol', 0.238), ('total sulfur dioxide', 0.127), ('volatile acidity', 0.075), ('pH', 0.053), ('fixed acidity', 0.034), ('sulphates', 0.028), ('residual sugar', 0.012), ('density', 0.011), ('chlorides', 0.009), ('free sulfur dioxide', 0.006)]"
4,random forest,10,1,0.981,0.665,"[('total sulfur dioxide', 0.158), ('pH', 0.139), ('sulphates', 0.133), ('alcohol', 0.1), ('free sulfur dioxide', 0.082), ('residual sugar', 0.082), ('fixed acidity', 0.072), ('citric acid', 0.066), ('density', 0.064), ('chlorides', 0.057), ('volatile acidity', 0.046)]"
5,random forest,10,2,0.985,0.682,"[('alcohol', 0.205), ('sulphates', 0.131), ('total sulfur dioxide', 0.129), ('chlorides', 0.122), ('density', 0.09), ('fixed acidity', 0.086), ('free sulfur dioxide', 0.056), ('volatile acidity', 0.05), ('residual sugar', 0.049), ('pH', 0.041), ('citric acid', 0.041)]"
6,random forest,10,FMethodRF.LOG,0.98,0.658,"[('alcohol', 0.246), ('total sulfur dioxide', 0.158), ('volatile acidity', 0.152), ('sulphates', 0.123), ('citric acid', 0.07), ('density', 0.069), ('free sulfur dioxide', 0.043), ('chlorides', 0.04), ('pH', 0.035), ('fixed acidity', 0.034), ('residual sugar', 0.031)]"
7,random forest,10,FMethodRF.SQRT,0.976,0.655,"[('alcohol', 0.187), ('sulphates', 0.139), ('density', 0.12), ('volatile acidity', 0.117), ('total sulfur dioxide', 0.1), ('chlorides', 0.088), ('citric acid', 0.087), ('free sulfur dioxide', 0.055), ('residual sugar', 0.047), ('pH', 0.029), ('fixed acidity', 0.029)]"
8,random forest,25,1,0.999,0.668,"[('volatile acidity', 0.115), ('chlorides', 0.108), ('pH', 0.107), ('total sulfur dioxide', 0.1), ('citric acid', 0.1), ('density', 0.092), ('fixed acidity', 0.087), ('sulphates', 0.085), ('alcohol', 0.073), ('free sulfur dioxide', 0.07), ('residual sugar', 0.063)]"
9,random forest,25,2,0.999,0.698,"[('alcohol', 0.185), ('sulphates', 0.159), ('volatile acidity', 0.093), ('fixed acidity', 0.091), ('total sulfur dioxide', 0.085), ('chlorides', 0.081), ('citric acid', 0.077), ('density', 0.068), ('residual sugar', 0.068), ('free sulfur dioxide', 0.049), ('pH', 0.045)]"
